234 111
    2147483647    0    1    2    3    4    5    6    7    8    9    10    11    12    13    14    15    16    17    18    19    20    21    22    23    24    25    26    27    28    29    30    31    32    33    34    35    36    37    38    39    40    41    42    43    44    45    46    47    48    49    50    51    52    53    54    55    56    57    58    59    60    61    62    63    64    65    66    67    68    69    70    71    72    73    74    75    76    77    78    79    80    81    82    83    84    -999    -998    -997    -996    -995    -994    -993    -992    -991    -990    -989    -988    -987    -986    -985    -984    -983    -982    -981    -980    -979    -978    -977    -976    -975
* * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * r16 * * * r16 * * * * * * * * * * * r16 r16 * * * * * * * * * * * * * * * * * * * * * * * * * * 
* * * * * * * * * * * * * * * * r45 r45 r45 r45 r45 * * * r45 r45 r45 r45 r45 r45 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 
* * * * * * * * * * * * * * * * r46 r46 r46 r46 r46 * * * r46 r46 r46 r46 r46 r46 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 
* * s59 * * s60 * * * * * * * * * s61 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * s62 * * * * * s63 * * * * s83 s65 * * * * s66 * * * * * * * * * 
* * * * * * * * * * * * * * * s84 r49 r49 r49 r49 r49 * * * r49 r49 r49 r49 r49 r49 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 
* * * * * * * * * * * * * * * * r32 * * * * * * * s85 s86 s87 s88 s89 s90 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 
* * * * * * * * * * * * * * * * s91 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 
* * * * * * * * * * * * * * * * r42 r42 r42 s92 s93 * * * r42 r42 r42 r42 r42 r42 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 
* * * * * * * * * * * * * * * * r39 s94 s95 * * * * * r39 r39 r39 r39 r39 r39 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 
* * * * * * * * * * * * * * * * s96 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 
* * s97 * * s98 * * * * * * * * * s99 r50 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * s100 * * * * * s101 s102 * * * s103 s104 * * * * s105 * * * * * * * * * 
* * s106 * * s107 * * * * * * * * * s108 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * s109 * * * * * s110 * * * * * s111 * * * * s112 * * * * * * * * * 
* * s106 * * s107 * * * * * * * * * s108 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * s109 * * * * * s113 * * * * * s111 * * * * s112 * * * * * * * * * 
* * s106 * * s107 * * * * * * * * * s108 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * s109 * * * * * s114 * * * * * s111 * * * * s112 * * * * * * * * * 
* * s106 * * s107 * * * * * * * * * s108 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * s109 * * * * * s115 * * * * * s111 * * * * s112 * * * * * * * * * 
* * s106 * * s107 * * * * * * * * * s108 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * s109 * * * * * s116 * * * * * s111 * * * * s112 * * * * * * * * * 
* * s106 * * s107 * * * * * * * * * s108 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * s109 * * * * * s117 * * * * * s111 * * * * s112 * * * * * * * * * 
* * * * * * * * * * * * r26 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * r26 * * * r26 * * * * * * * * * * * r26 r26 * * * * * * * * * * * * * * * * * * * * * * * * * * 
* * s45 * * s46 * * * * * * * * * s47 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * s49 * * * * * * * * * * * s52 * * * * s118 * * * * * * * * * 
* * s45 * * s46 * * * * * * * * * s47 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * s49 * * * * * * * * * * * s52 * * * * s119 * * * * * * * * * 
* * s45 * * s46 * * * * * * * * * s47 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * s49 * * * * * s120 * * * * * s52 * * * * s53 * * * * * * * * * 
* * s45 * * s46 * * * * * * * * * s47 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * s49 * * * * * s121 * * * * * s52 * * * * s53 * * * * * * * * * 
* * s59 * * s60 * * * * * * * * * s61 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * s62 * * * * * s63 * * * * s122 s65 * * * * s66 * * * * * * * * * 
* * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * s123 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 
* * * * * * * * * * * * r18 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 
* * * * * * * * * * * * * * * * s124 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 
* * s97 * * s98 * * * * * * * * * s99 r50 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * s100 * * * * * s101 s125 * * * s103 s104 * * * * s105 * * * * * * * * * 
* * s126 * * s127 * * * * * * * * * s128 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * s129 * * * * * s130 * * * * * s131 * * * * s132 * * * * * * * * * 
