状态,!=,(,),*,+,",",-,/,;,<,<=,=,==,>,>=,ID,[,],else,float,if,int,num,return,void,while,{,},#,<A>,<M>,<N>,<Program>,<S>,<if语句>,<relop>,<return语句>,<while语句>,<内部变量声明>,<内部声明>,<内部数组声明>,<函数声明>,<加法表达式>,<参数>,<参数列表>,<变量声明>,<因子>,<声明>,<声明串>,<声明类型>,<实参列表>,<形参>,<数组>,<表达式>,<语句>,<语句串>,<语句块>,<赋值语句>,<逗号和参数>,<项>,
93, ,r44, , , , , , , , , , , , , ,r44, , , , , , ,r44, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
94, ,r45, , , , , , , , , , , , , ,r45, , , , , , ,r45, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
95, ,s69, , , , , , , , , , , , , ,s70, , , , , , ,s68, , , , , , , , , , , , , , , , , , , ,124, , , ,67, , , , , , , , , , , , ,125,
96, ,s69, , , , , , , , , , , , , ,s70, , , , , , ,s68, , , , , , , , , , , , , , , , , , , ,126, , , ,67, , , , , , , , , , , , ,125,
97, ,s69, , , , , , , , , , , , , ,s70, , , , , , ,s68, , , , , , , , , , , , , , , , , , , , , , , ,67, , , , , , , , , , , , ,127,
98, ,s69, , , , , , , , , , , , , ,s70, , , , , , ,s68, , , , , , , , , , , , , , , , , , , , , , , ,67, , , , , , , , , , , , ,128,
99, , ,s129, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
100, ,s136,r58, , , , , , , , , , , , ,s137, , , , , , ,s135, , , , , , , , , , , , , , , , , , , ,132, , , ,134, , , ,130, , ,131, , , , , ,133,
101,r64, , ,r64,r64, ,r64,r64,r64,r64,r64, ,r64,r64,r64, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
102, , , , , , , , , , , , , , , , , , , , , , ,s138, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
103, , , , , , , , ,s139, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
104, ,s69, , , , , , , , , , , , , ,s70, , , , , , ,s68, , , , , , , , , , , , , , , , , , , ,65, , , ,67, , , , , , ,140, , , , , ,66,
105, , , , , , , , , , , , , , , , , ,s141, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
106, , , , , , , , , , , , , , , , , ,s142, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
107, , , , , , , , , , , , , , , , , , , , , , , , , , ,r9, , ,143, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
108, ,s148, , , , , , , , , , , , , ,s149, , , , , , ,s147, , , , , , , , , , , , , , , , , , , ,144, , , ,146, , , , , , , , , , , , ,145,
109, ,s84, , , , , , , , , , , , , ,s85, , , , , , ,s83, , , , , , , , , , , , , , , , , , , ,150, , , ,82, , , , , , , , , , , , ,151,
110, ,s84, , , , , , , , , , , , , ,s85, , , , , , ,s83, , , , , , , , , , , , , , , , , , , ,152, , , ,82, , , , , , , , , , , , ,151,
111, ,s84, , , , , , , , , , , , , ,s85, , , , , , ,s83, , , , , , , , , , , , , , , , , , , , , , , ,82, , , , , , , , , , , , ,153,
112, ,s84, , , , , , , , , , , , , ,s85, , , , , , ,s83, , , , , , , , , , , , , , , , , , , , , , , ,82, , , , , , , , , , , , ,154,
113, , ,s155, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
114, ,s136,r58, , , , , , , , , , , , ,s137, , , , , , ,s135, , , , , , , , , , , , , , , , , , , ,132, , , ,134, , , ,156, , ,131, , , , , ,133,
115,r64, ,r64,r64,r64, ,r64,r64, ,r64,r64, ,r64,r64,r64, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
116, , , , , , , , , , , , , , , , , , , , , , ,s157, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
117, , ,s158, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
118, , , , , , , , ,r39, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
119, , , , ,s159, ,s160, ,r46, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
120, , , ,s161,r49, ,r49,s162,r49, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
121, , , ,r52,r52, ,r52,r52,r52, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
